dia0_utt0, neutral
dia0_utt1, neutral
dia0_utt2, neutral
dia1_utt0, neutral
dia1_utt1, joy
dia1_utt2, neutral
dia1_utt3, neutral
dia1_utt4, neutral
dia1_utt5, neutral
dia1_utt6, joy
dia1_utt7, joy
dia2_utt0, neutral
dia2_utt1, neutral
dia2_utt2, joy
dia2_utt3, joy
dia2_utt4, neutral
dia2_utt5, neutral
dia2_utt6, neutral
dia2_utt7, anger
dia2_utt8, anger
dia2_utt9, neutral
dia2_utt10, neutral
dia3_utt0, neutral
dia3_utt1, joy
dia3_utt2, neutral
dia3_utt3, neutral
dia3_utt4, neutral
dia3_utt5, neutral
dia3_utt6, neutral
dia4_utt0, joy
dia4_utt1, neutral
dia4_utt2, joy
dia4_utt3, joy
dia4_utt4, neutral
dia4_utt5, joy
dia4_utt6, neutral
dia4_utt7, neutral
dia4_utt8, neutral
dia5_utt0, neutral
dia5_utt1, neutral
dia5_utt2, neutral
dia5_utt3, neutral
dia5_utt4, neutral
dia5_utt5, neutral
dia5_utt6, neutral
dia5_utt7, neutral
dia5_utt8, neutral
dia6_utt0, neutral
dia6_utt1, neutral
dia6_utt2, joy
dia7_utt0, neutral
dia7_utt1, neutral
dia7_utt2, joy
dia7_utt3, neutral
dia7_utt4, neutral
dia7_utt5, neutral
dia7_utt6, neutral
dia7_utt7, neutral
dia7_utt8, neutral
dia8_utt0, neutral
dia8_utt1, neutral
dia8_utt2, neutral
dia8_utt3, neutral
dia8_utt4, neutral
dia8_utt5, joy
dia8_utt6, neutral
dia9_utt0, joy
dia9_utt1, neutral
dia9_utt2, neutral
dia9_utt3, joy
dia9_utt4, joy
dia9_utt5, neutral
dia9_utt6, neutral
dia9_utt7, anger
dia9_utt8, neutral
dia9_utt9, joy
dia9_utt10, neutral
dia9_utt11, neutral
dia9_utt12, neutral
dia9_utt13, joy
dia9_utt14, neutral
dia9_utt15, joy
dia9_utt16, neutral
dia9_utt17, neutral
dia10_utt0, neutral
dia10_utt1, neutral
dia10_utt2, joy
dia10_utt3, neutral
dia11_utt0, neutral
dia11_utt1, neutral
dia11_utt2, neutral
dia11_utt3, neutral
dia11_utt4, neutral
dia12_utt0, neutral
dia12_utt1, neutral
dia12_utt2, neutral
dia12_utt3, neutral
dia12_utt4, neutral
dia12_utt5, anger
dia12_utt6, neutral
dia12_utt7, neutral
dia12_utt8, neutral
dia12_utt9, neutral
dia12_utt10, neutral
dia12_utt11, neutral
dia12_utt12, neutral
dia12_utt13, neutral
dia12_utt14, neutral
dia12_utt15, anger
dia12_utt16, neutral
dia12_utt17, joy
dia12_utt18, neutral
dia12_utt19, joy
dia13_utt0, neutral
dia13_utt1, neutral
dia13_utt2, neutral
dia13_utt3, neutral
dia13_utt4, neutral
dia13_utt5, neutral
dia13_utt6, joy
dia13_utt7, neutral
dia14_utt0, neutral
dia14_utt1, joy
dia14_utt2, joy
dia14_utt3, joy
dia14_utt4, neutral
dia14_utt5, neutral
dia14_utt6, joy
dia14_utt7, joy
dia14_utt8, neutral
dia14_utt9, neutral
dia14_utt10, neutral
dia15_utt0, anger
dia15_utt1, neutral
dia15_utt2, anger
dia15_utt3, joy
dia15_utt4, joy
dia15_utt5, joy
dia16_utt0, neutral
dia16_utt1, neutral
dia16_utt2, neutral
dia16_utt3, joy
dia16_utt4, joy
dia16_utt5, neutral
dia16_utt6, neutral
dia16_utt7, neutral
dia16_utt8, neutral
dia16_utt9, joy
dia17_utt0, neutral
dia17_utt1, neutral
dia17_utt2, neutral
dia17_utt3, anger
dia17_utt4, neutral
dia17_utt5, joy
dia17_utt6, joy
dia17_utt7, neutral
dia17_utt8, anger
dia17_utt9, neutral
dia17_utt10, joy
dia17_utt11, neutral
dia17_utt12, neutral
dia17_utt13, neutral
dia17_utt14, neutral
dia17_utt15, neutral
dia17_utt16, neutral
dia17_utt17, neutral
dia17_utt18, joy
dia17_utt19, neutral
dia17_utt20, neutral
dia17_utt21, neutral
dia17_utt22, joy
dia17_utt23, neutral
dia17_utt24, neutral
dia17_utt25, neutral
dia17_utt26, neutral
dia17_utt27, joy
dia17_utt28, neutral
dia17_utt29, neutral
dia17_utt30, neutral
dia17_utt31, neutral
dia17_utt32, neutral
dia18_utt0, neutral
dia18_utt1, neutral
dia18_utt2, neutral
dia19_utt0, neutral
dia20_utt0, joy
dia20_utt1, neutral
dia20_utt2, neutral
dia20_utt3, neutral
dia20_utt4, joy
dia20_utt5, neutral
dia20_utt6, anger
dia20_utt7, neutral
dia21_utt0, neutral
dia21_utt1, neutral
dia21_utt2, neutral
dia21_utt3, neutral
dia21_utt4, neutral
dia21_utt5, neutral
dia21_utt6, neutral
dia22_utt0, joy
dia22_utt1, neutral
dia22_utt2, neutral
dia22_utt3, neutral
dia22_utt4, neutral
dia22_utt5, neutral
dia22_utt6, neutral
dia22_utt7, neutral
dia22_utt8, neutral
dia22_utt9, joy
dia22_utt10, neutral
dia22_utt11, neutral
dia22_utt12, anger
dia22_utt13, neutral
dia22_utt14, neutral
dia22_utt15, neutral
dia22_utt16, neutral
dia22_utt17, joy
dia22_utt18, neutral
dia22_utt19, neutral
dia22_utt20, neutral
dia22_utt21, neutral
dia23_utt0, joy
dia23_utt1, neutral
dia23_utt2, neutral
dia24_utt0, neutral
dia24_utt1, joy
dia24_utt2, neutral
dia24_utt3, joy
dia25_utt0, neutral
dia25_utt1, neutral
dia25_utt2, neutral
dia25_utt3, neutral
dia25_utt4, joy
dia25_utt5, joy
dia25_utt6, joy
dia25_utt7, neutral
dia25_utt8, neutral
dia25_utt9, neutral
dia25_utt10, neutral
dia25_utt11, neutral
dia25_utt12, neutral
dia25_utt13, anger
dia25_utt14, neutral
dia25_utt15, anger
dia25_utt16, anger
dia26_utt0, joy
dia27_utt0, joy
dia27_utt1, neutral
dia28_utt0, neutral
dia28_utt1, neutral
dia28_utt2, neutral
dia28_utt3, joy
dia28_utt4, neutral
dia28_utt5, neutral
dia28_utt6, neutral
dia28_utt7, neutral
dia28_utt8, neutral
dia28_utt9, neutral
dia28_utt10, neutral
dia28_utt11, neutral
dia28_utt12, neutral
dia28_utt13, neutral
dia28_utt14, joy
dia28_utt15, joy
dia28_utt16, neutral
dia29_utt0, neutral
dia29_utt1, neutral
dia29_utt2, neutral
dia29_utt3, neutral
dia29_utt4, neutral
dia29_utt5, neutral
dia29_utt6, neutral
dia29_utt7, neutral
dia29_utt8, neutral
dia29_utt9, neutral
dia29_utt10, anger
dia29_utt11, neutral
dia29_utt12, joy
dia30_utt0, neutral
dia30_utt1, neutral
dia30_utt2, joy
dia30_utt3, neutral
dia30_utt4, neutral
dia30_utt5, neutral
dia31_utt0, neutral
dia32_utt0, joy
dia32_utt1, neutral
dia32_utt2, neutral
dia32_utt3, neutral
dia32_utt4, neutral
dia32_utt5, neutral
dia32_utt6, neutral
dia32_utt7, neutral
dia32_utt8, neutral
dia32_utt9, neutral
dia32_utt10, neutral
dia32_utt11, joy
dia32_utt12, neutral
dia33_utt0, neutral
dia33_utt1, neutral
dia33_utt2, neutral
dia33_utt3, neutral
dia33_utt4, joy
dia33_utt5, neutral
dia33_utt6, neutral
dia33_utt7, neutral
dia33_utt8, neutral
dia33_utt9, neutral
dia33_utt10, neutral
dia34_utt0, neutral
dia34_utt1, joy
dia34_utt2, joy
dia34_utt3, joy
dia34_utt4, joy
dia34_utt5, joy
dia34_utt6, neutral
dia34_utt7, joy
dia34_utt8, neutral
dia34_utt9, neutral
dia34_utt10, neutral
dia34_utt11, neutral
dia34_utt12, joy
dia34_utt13, neutral
dia34_utt14, neutral
dia34_utt15, neutral
dia34_utt16, neutral
dia34_utt17, anger
dia34_utt18, neutral
dia35_utt0, joy
dia35_utt1, anger
dia35_utt2, neutral
dia35_utt3, neutral
dia35_utt4, neutral
dia36_utt0, neutral
dia36_utt1, neutral
dia37_utt0, neutral
dia37_utt1, neutral
dia37_utt2, neutral
dia37_utt3, neutral
dia37_utt4, neutral
dia37_utt5, neutral
dia37_utt6, neutral
dia37_utt7, anger
dia38_utt0, joy
dia38_utt1, neutral
dia38_utt2, neutral
dia38_utt3, joy
dia38_utt4, neutral
dia39_utt0, joy
dia39_utt1, neutral
dia39_utt2, neutral
dia39_utt3, neutral
dia39_utt4, neutral
dia39_utt5, neutral
dia39_utt6, neutral
dia39_utt7, neutral
dia39_utt8, neutral
dia39_utt9, joy
dia39_utt10, anger
dia39_utt11, joy
dia40_utt0, joy
dia40_utt1, neutral
dia41_utt0, neutral
dia41_utt1, neutral
dia41_utt2, joy
dia41_utt3, neutral
dia41_utt4, neutral
dia41_utt5, neutral
dia41_utt6, neutral
dia41_utt7, neutral
dia41_utt8, joy
dia41_utt9, joy
dia41_utt10, neutral
dia41_utt11, joy
dia41_utt12, neutral
dia42_utt0, neutral
dia42_utt1, neutral
dia42_utt2, joy
dia42_utt3, anger
dia42_utt4, neutral
dia42_utt5, neutral
dia42_utt6, neutral
dia42_utt7, neutral
dia42_utt8, neutral
dia43_utt0, neutral
dia43_utt1, neutral
dia43_utt2, neutral
dia43_utt3, neutral
dia43_utt4, neutral
dia43_utt5, neutral
dia43_utt6, neutral
dia44_utt0, neutral
dia44_utt1, neutral
dia44_utt2, joy
dia44_utt3, neutral
dia45_utt0, joy
dia45_utt1, neutral
dia45_utt2, neutral
dia45_utt3, joy
dia45_utt4, neutral
dia45_utt5, joy
dia45_utt6, neutral
dia45_utt7, neutral
dia45_utt8, neutral
dia46_utt0, neutral
dia46_utt1, neutral
dia46_utt2, neutral
dia46_utt3, neutral
dia46_utt4, neutral
dia46_utt5, neutral
dia46_utt6, neutral
dia46_utt7, joy
dia46_utt8, neutral
dia47_utt0, neutral
dia47_utt1, neutral
dia47_utt2, neutral
dia47_utt3, anger
dia47_utt4, anger
dia47_utt5, neutral
dia47_utt6, neutral
dia47_utt7, neutral
dia47_utt8, neutral
dia47_utt9, joy
dia47_utt10, neutral
dia47_utt11, neutral
dia47_utt12, neutral
dia47_utt13, neutral
dia48_utt0, neutral
dia48_utt1, neutral
dia48_utt2, neutral
dia48_utt3, joy
dia48_utt4, anger
dia48_utt5, anger
dia48_utt6, anger
dia49_utt0, joy
dia49_utt1, joy
dia49_utt2, neutral
dia49_utt3, neutral
dia49_utt4, neutral
dia49_utt5, neutral
dia49_utt6, neutral
dia49_utt7, neutral
dia49_utt8, neutral
dia49_utt9, joy
dia49_utt10, neutral
dia49_utt11, neutral
dia49_utt12, neutral
dia49_utt13, neutral
dia49_utt14, joy
dia49_utt15, neutral
